Timestamp,Are you a student of the University of Lagos?,"If not, what is your university/institution?",What is your current academic level?,How old are you?,What is your gender?,What was your relationship status during the strike?,What is your faculty?,What is your department?,"Kindly input your department, if not listed in the previous question. ",How has the ASUU strike affected you and your academic performance?,What was the most challenging part of returning to academic life after the strike?,Did you undertake any work during the strike?,How did you develop yourself during the strike?,How prepared were you for the exams? [Before Strike],How prepared were you for the exams? [After Strike],How were your lectures affected by the strike?,How often did you engage in academic activities during the strike?,How many courses did you take in the affected semester? ,How many credit units did your courses add up to in the affected semester?,What was your CGPA before the strike?,What was your CGPA after the strike?
12/04/2023 15:51:55,Yes,,300 Level,22,Male,Single,Environmental Sciences,Quantity Surveying,,Affected my dedication to my education because of the incessant breaks ,Resuming to academic life was challenging because of other investments I engaged in during the academic breaks,Worked in a role unrelated to my studies,"Acquired skills unrelated to course of study, Vocational training and artisanship",Moderately,Poorly,Improved lectures after the strike,Never: I did not engage in any academic activities during the strike.,8,16,3.59,3.75
12/04/2023 15:52:07,No,FUNAAB,400 Level,21,Male,Single,Physical sciences,Statistics,,It made my grades drop,Trying to catch up with previous academic work,Worked in a role relevant to my studies,Acquired skills unrelated to course of study,Poorly,Poorly,No noticeable change,Rarely: I engaged in academic activities once or twice during the strike.,7,15,4,3.7
12/04/2023 15:53:18,Yes,,100 Level,23,Male,Single,Education,Educational Foundations,,It has affected it in a bad way,Surviving ,Worked in a role unrelated to my studies,Volunteered for an event or organization,Poorly,Very,Worse lectures after the strike,"Often: I engaged in academic activities regularly, but not as often as I would during a normal semester.",8,5,0,3.57
12/04/2023 15:55:50,Yes,,100 Level,19,Male,Single,Engineering,Mechanical Engineering,,I'm slower to processing things,Reading,Worked in a role unrelated to my studies,Acquired skills unrelated to course of study,Poorly,Poorly,Improved lectures after the strike,Rarely: I engaged in academic activities once or twice during the strike.,8,14,0,0
12/04/2023 16:05:34,Yes,,300 Level,21,Female,Dating,Sciences,Cell Biology & Genetics,,Not satisfactory ,Reading ,Worked in a role unrelated to my studies,Vocational training and artisanship,Moderately,Moderately,Worse lectures after the strike,Rarely: I engaged in academic activities once or twice during the strike.,8,,3,3
12/04/2023 16:06:27,Yes,,400 Level,22,Male,Single,Education,Human Kinetics & Health Education,,Badly ,Get used to reading and attending lectures,Worked in a role unrelated to my studies,Acquired skills unrelated to course of study,Very,Moderately,Worse lectures after the strike,"Sometimes: I engaged in academic activities occasionally, but not on a regular basis during the strike.",5,16,3.38,3.38
12/04/2023 19:34:44,Yes,,200 Level,20,Male,Single,Management Science,Accounting,,Nothing really,Losing interest in school,Worked in a role unrelated to my studies,"Acquired skills relevant to course of study, Vocational training and artisanship",Moderately,Poorly,Fewer lecturers attended classes,"Sometimes: I engaged in academic activities occasionally, but not on a regular basis during the strike.",7,,4.08,4.28
12/04/2023 20:21:42,Yes,,400 Level,26,Male,Dating,Education,Other,Business Education,It destabilized my academic journey and prolonged the number of years i intended to spend in school. ,Getting up to speed with previous lectures.,Worked in a role relevant to my studies,Acquired skills relevant to course of study,Very,Very,No noticeable change,"Often: I engaged in academic activities regularly, but not as often as I would during a normal semester.",8,22,2.68,2.77
12/04/2023 22:48:26,Yes,,300 Level,22,Female,Single,Sciences,Biochemistry,,"Loss of interest in academics
",Looks of materials to read and catch up on. ,Worked in a role unrelated to my studies,"Volunteered for an event or organization, Acquired skills unrelated to course of study, Vocational training and artisanship",Very,Moderately,Worse lectures after the strike,Rarely: I engaged in academic activities once or twice during the strike.,7,15,0,0
12/04/2023 23:22:35,Yes,,300 Level,22,Female,Dating,Education,Arts & Social Science Education,,My grades dropped a little bit ,Trying to get back to reading and assimilating ,Did not work during the strike,None of the above,Moderately,Moderately,Fewer lecturers attended classes,Rarely: I engaged in academic activities once or twice during the strike.,11,22,3.67,3.2
12/04/2023 23:27:46,No,Lagos State University ,400 Level,21,Female,Dating,Arts,English,,"I have become more relaxed and this has affected my cgpa, as the strike has made it more evident that the government doesn’t not care about the students. ","It was hard getting back to the usual routine of the academic life. During the strike, a lot of students decided to create side hustles for themselves as the journey that is supposed to be for a fixed number of years has been interrupted by subsequent strikes. Merging this side hustle with the academic life has proved to be stressful.",Worked in a role unrelated to my studies,"Acquired skills unrelated to course of study, Vocational training and artisanship",Very,Moderately,Worse lectures after the strike,"Often: I engaged in academic activities regularly, but not as often as I would during a normal semester.",10,20,3.45,3.15
13/04/2023 10:14:24,Yes,,400 Level,27,Female,Single,Education,Arts & Social Science Education,,"It affected me in so many ways, I couldn’t work because no one wants to employ undergraduate.

I couldn’t read because I lost the zeal to","I couldn’t focus on book
I can’t assimilate well",Did not work during the strike,Volunteered for an event or organization,Poorly,Poorly,Worse lectures after the strike,Never: I did not engage in any academic activities during the strike.,7,14,2.72,2.41
13/04/2023 13:13:10,Yes,,100 Level,22,Male,Dating,Arts,Philosophy,,Meh ,The rush ,Worked in a role unrelated to my studies,Acquired skills unrelated to course of study,Moderately,Moderately,Fewer lecturers attended classes,Never: I did not engage in any academic activities during the strike.,10,,0,2.1
13/04/2023 13:27:25,Yes,,100 Level,19,Male,Single,Management Science,Actuarial Science & Insurance,,,"My getting used to the whole university life worsened cause I was still new to the system, and after just few weeks we had spent after resumption the school went on strike ",Worked in a role unrelated to my studies,Vocational training and artisanship,Moderately,Poorly,Worse lectures after the strike,Rarely: I engaged in academic activities once or twice during the strike.,8,18,0,4.2
13/04/2023 14:02:06,Yes,,300 Level,22,Male,Single,Arts,History & Strategic Studies,,Very significantly ,Having to go back again for other breaks; there was and is still no fluidity.,Worked in a role unrelated to my studies,Vocational training and artisanship,Moderately,Poorly,Fewer lecturers attended classes,Rarely: I engaged in academic activities once or twice during the strike.,9,18,4,4
13/04/2023 14:30:00,Yes,,300 Level,21,Male,Single,Sciences,Mathematics,,Being more Industry focused then academic focused,Leaving my job beacuse it was an onsite role,Worked in a role relevant to my studies,"Volunteered for an event or organization, Acquired skills relevant to course of study, Acquired skills unrelated to course of study",Very,Moderately,Fewer lecturers attended classes,Never: I did not engage in any academic activities during the strike.,7,17,4.2,4.15
13/04/2023 15:46:17,Yes,,400 Level,21,Male,Single,Social Sciences,Mass Communication,,,,Worked in a role relevant to my studies,"Acquired skills relevant to course of study, Acquired skills unrelated to course of study",Moderately,Moderately,Improved lectures after the strike,"Sometimes: I engaged in academic activities occasionally, but not on a regular basis during the strike.",7,19,3.47,3.67
13/04/2023 17:17:59,Yes,,300 Level,24,Female,Single,Education,Educational Foundations,,I would say the strike affected my academic performance positively. Wasn't so at first sha. But there was a massive turn around ,Exam😅,Worked in a role unrelated to my studies,None of the above,Poorly,Very,No noticeable change,Rarely: I engaged in academic activities once or twice during the strike.,10,20,3.52,3.74
14/04/2023 15:42:36,Yes,,400 Level,22,Male,Single,Education,Other,Religious Studies ,I'm mentally exhausted. It makes my mental health decline so fast.,"Lecturers do not care, the school doesn't care. No emphathy or emotional support.",Did not work during the strike,None of the above,Very,Poorly,No noticeable change,"Sometimes: I engaged in academic activities occasionally, but not on a regular basis during the strike.",9,22,0,0
14/04/2023 21:47:01,Yes,,200 Level,24,Female,Single,Education,Science Tech. Education,,Bad ,Getting to study again ,Worked in a role unrelated to my studies,None of the above,Moderately,Poorly,Worse lectures after the strike,Never: I did not engage in any academic activities during the strike.,11,23,3.65,2.1
14/04/2023 21:51:46,Yes,,300 Level,24,Female,Dating,Education,Educational Foundations,,Literally lost the zeal to read as I got engaged with other things during the strike,Writing exams literally a month after resumption ,Worked in a role unrelated to my studies,None of the above,Very,Moderately,Fewer lecturers attended classes,Never: I did not engage in any academic activities during the strike.,10,20,2.23,2.66
14/04/2023 21:57:53,Yes,,200 Level,23,Female,Single,Education,Educational Foundations,,I considered dropping out of school ,It was quite difficult ,Worked in a role unrelated to my studies,Acquired skills unrelated to course of study,Moderately,Poorly,No noticeable change,Rarely: I engaged in academic activities once or twice during the strike.,10,2,2.5,2.5
14/04/2023 22:46:12,Yes,,200 Level,24,Female,Dating,Education,Biology Education,,"It has made me perform worse in academics and I feel left out or behind I would say , it made me feel like school  is just a waste and the government take out academics and future as play ",Classes attendance and trying to assimilate what they teach ,Worked in a role unrelated to my studies,Vocational training and artisanship,Moderately,Poorly,Worse lectures after the strike,Rarely: I engaged in academic activities once or twice during the strike.,8,17,3,2.4
15/04/2023 06:20:40,Yes,,200 Level,26,Female,Single,Education,Educational Foundations,,It has delayed me,Getting motivation ,Worked in a role unrelated to my studies,Acquired skills unrelated to course of study,Very,Moderately,Fewer lecturers attended classes,"Sometimes: I engaged in academic activities occasionally, but not on a regular basis during the strike.",11,,0,4
15/04/2023 08:08:17,Yes,,200 Level,22,Female,Dating,Education,Educational Foundations,,It made me nonchalant ,Everything about academic ,Did not work during the strike,Acquired skills unrelated to course of study,Moderately,Poorly,Fewer lecturers attended classes,Rarely: I engaged in academic activities once or twice during the strike.,9,18,3.85,0
15/04/2023 18:17:45,Yes,,200 Level,22,Female,Single,Sciences,Cell Biology & Genetics,,"Positively, because I had enough time to study under less pressure and in a conformtable environment, negatively; because an extra year has been added to my years of studying thereby disrupting the plans I have for the future ",Trying to study without pressure knowing that exams were to take place few months after resumption ,Worked in a role unrelated to my studies,Acquired skills unrelated to course of study,Very,Moderately,No noticeable change,"Sometimes: I engaged in academic activities occasionally, but not on a regular basis during the strike.",5,5,0,4.65
15/04/2023 18:33:19,Yes,,300 Level,21,Male,Single,Sciences,Mathematics,,I grew a lot more motivated to study harder because I running out of time fast. ,Remembering things from before the strike,Did not work during the strike,Acquired skills relevant to course of study,Poorly,Moderately,No noticeable change,"Sometimes: I engaged in academic activities occasionally, but not on a regular basis during the strike.",7,17,2.5,2.88
15/04/2023 18:43:39,Yes,,300 Level,22,Male,Single,Sciences,Statistics,,it has made me no longer interested in education ,reading again,Worked in a role unrelated to my studies,Vocational training and artisanship,Moderately,Moderately,No noticeable change,"Sometimes: I engaged in academic activities occasionally, but not on a regular basis during the strike.",6,17,3.24,3.5
16/04/2023 11:42:27,Yes,,400 Level,23,Female,Single,Education,Science Tech. Education,,I had to look for jobs and hence stopped reading . Going back to school was a bit hard ,The reading .,Worked in a role unrelated to my studies,"Acquired skills unrelated to course of study, Vocational training and artisanship",Poorly,Moderately,No noticeable change,Rarely: I engaged in academic activities once or twice during the strike.,9,21,3.5,2.6
16/04/2023 19:53:16,Yes,,300 Level,22,Male,Dating,Education,Science Tech. Education,,YES,Examination. ,Worked in a role unrelated to my studies,"Acquired skills unrelated to course of study, Vocational training and artisanship",Moderately,Poorly,No noticeable change,Never: I did not engage in any academic activities during the strike.,7,18,2.67,2.4
16/04/2023 19:55:21,Yes,,200 Level,21,Male,Dating,Engineering,Electrical & Electronics Engineering,,Bad,"Been a while I've read
Took a while to adjust",Worked in a role unrelated to my studies,Acquired skills relevant to course of study,Moderately,Poorly,Improved lectures after the strike,Rarely: I engaged in academic activities once or twice during the strike.,10,19,4,3.67
16/04/2023 19:56:19,Yes,,100 Level,19,Male,Single,Management Science,Finance,,Omo I no sabi oo,,Did not work during the strike,None of the above,Moderately,Moderately,No noticeable change,Rarely: I engaged in academic activities once or twice during the strike.,9,19,0,3.51
16/04/2023 19:56:58,Yes,,200 Level,21,Male,Single,Engineering,Mechanical Engineering,,"Was unable to go to read well
Home issues and had to work",To start reading again after a long time ,Worked in a role relevant to my studies,Acquired skills relevant to course of study,Moderately,Poorly,Worse lectures after the strike,Rarely: I engaged in academic activities once or twice during the strike.,11,19,4.26,4
16/04/2023 19:59:15,Yes,,300 Level,21,Male,Single,Law,Law,,Greatly,Becoming motivated to study,Worked in a role unrelated to my studies,Acquired skills unrelated to course of study,Moderately,Poorly,Worse lectures after the strike,Never: I did not engage in any academic activities during the strike.,6,20,4.1,2.8
16/04/2023 20:12:33,Yes,,100 Level,19,Male,Single,Engineering,Civil & Environmental Engineering,,it hasn't ,adapting to school life,Worked in a role unrelated to my studies,Acquired skills unrelated to course of study,Moderately,Poorly,No noticeable change,Never: I did not engage in any academic activities during the strike.,9,0,0,3.5
16/04/2023 21:36:48,Yes,,200 Level,22,Female,Single,Education,Biology Education,,"It affected my GP in my first exam in unilag, I was in year 1 during the strike",Having short time to study for exam,Worked in a role unrelated to my studies,None of the above,Very,Moderately,Worse lectures after the strike,Never: I did not engage in any academic activities during the strike.,7,16,0,2.39
17/04/2023 07:02:00,Yes,,300 Level,22,Female,Single,Sciences,Mathematics,,"Not really 
Still maintaining the same CGPA",I find it difficult to read. Little or no vibe at all to pick up a book to read. Basically I feel like dropping out ,Worked in a role unrelated to my studies,"Volunteered for an event or organization, Acquired skills unrelated to course of study",Very,Moderately,No noticeable change,Never: I did not engage in any academic activities during the strike.,7,19,2.6,2.6
17/04/2023 22:39:42,Yes,,200 Level,23,Male,Single,Social Sciences,Economics,,I wasn't fully prepared for my exams cause I had little time to cover the syllabus ,Studying my calculation courses,Worked in a role relevant to my studies,"Volunteered for an event or organization, Acquired skills relevant to course of study",Poorly,Moderately,Worse lectures after the strike,"Sometimes: I engaged in academic activities occasionally, but not on a regular basis during the strike.",7,,4.09,3.95
17/04/2023 23:03:34,Yes,,200 Level,19,Male,Single,Social Sciences,Economics,,It made me more relaxed in my reading but help me career wise,Vibe to read,Worked in a role relevant to my studies,"Volunteered for an event or organization, Acquired skills relevant to course of study, Acquired skills unrelated to course of study, Vocational training and artisanship",Very,Poorly,Improved lectures after the strike,"Sometimes: I engaged in academic activities occasionally, but not on a regular basis during the strike.",7,,5,4.5
17/04/2023 23:04:20,Yes,,200 Level,20,Male,Dating,Social Sciences,Economics,,Affected me in a bad way. Quite a horrible experience ,Having to cover up a lot in few weeks,Worked in a role unrelated to my studies,Acquired skills unrelated to course of study,Very,Poorly,No noticeable change,Rarely: I engaged in academic activities once or twice during the strike.,6,18,3.8,3.4
17/04/2023 23:09:59,Yes,,200 Level,21,Male,Single,Social Sciences,Economics,,it has affected my academic performance badly ,the academic itself ,Worked in a role unrelated to my studies,Acquired skills unrelated to course of study,Moderately,Poorly,Worse lectures after the strike,Rarely: I engaged in academic activities once or twice during the strike.,7,22,4.55,4.5
17/04/2023 23:18:34,Yes,,200 Level,22,Male,Single,Social Sciences,Economics,,It affected my focus towards academics,I had to share my focus with some other engagements I got into during the strike ,Worked in a role unrelated to my studies,Acquired skills unrelated to course of study,Poorly,Moderately,Fewer lecturers attended classes,Rarely: I engaged in academic activities once or twice during the strike.,6,18,3.49,3.2
17/04/2023 23:22:28,Yes,,200 Level,20,Female,Single,Social Sciences,Economics,,,,Did not work during the strike,None of the above,Moderately,Moderately,No noticeable change,Never: I did not engage in any academic activities during the strike.,6,16,0,4.3
17/04/2023 23:40:27,Yes,,200 Level,25,Female,Single,Social Sciences,Economics,,Making a plan and in the process the strike was called off,Resetting the brain ,Worked in a role unrelated to my studies,"Volunteered for an event or organization, Acquired skills relevant to course of study, Acquired skills unrelated to course of study, Vocational training and artisanship",Very,Poorly,Fewer lecturers attended classes,Very often: I engaged in academic activities almost as often as I would during a normal semester.,7,,0,0
18/04/2023 05:20:46,Yes,,200 Level,20,Female,Single,Social Sciences,Economics,,It made me relaxed to took my education with levity. I'm still trying to focus for the semester. It's s so bad that even rumours or prank about ASUU strike is enough to damp my mood. To be honest I'm getting tired of this education thing little by little.,"The part where I have to explain to my family that even though be been in the school for close to four years I'm still resuming back to year 2 first semester
 ",Did not work during the strike,"Acquired skills relevant to course of study, Vocational training and artisanship",Moderately,Poorly,No noticeable change,Rarely: I engaged in academic activities once or twice during the strike.,7,20,4.32,4.22
18/04/2023 05:38:44,Yes,,100 Level,19,Female,Single,Sciences,Cell Biology & Genetics,,Negatively ,Trying to pick up the habit of reading ,Worked in a role unrelated to my studies,"Acquired skills relevant to course of study, Acquired skills unrelated to course of study, Vocational training and artisanship",Moderately,Poorly,Fewer lecturers attended classes,Rarely: I engaged in academic activities once or twice during the strike.,8,20,0,3.5
18/04/2023 06:19:53,Yes,,200 Level,21,Female,Dating,Management Science,Finance,,Yes very bad,,Worked in a role unrelated to my studies,Vocational training and artisanship,Very,Moderately,Fewer lecturers attended classes,"Often: I engaged in academic activities regularly, but not as often as I would during a normal semester.",10,21,3.29,2.29
18/04/2023 06:21:39,Yes,,200 Level,18,Female,Single,Management Science,Accounting,,"Personally, I gained admission through Jupeb. So it was a struggle for me as I gained admission in January and strike began in February and ended October and exam started December. I wasn't able to attend lectures properly and the whole semester was in haste.",After having to stay at home for 8 months only to return to school to start preparing for exams had a negative impact on me but I was able to buckle up quickly. ,Worked in a role relevant to my studies,Acquired skills relevant to course of study,Poorly,Moderately,Worse lectures after the strike,Very often: I engaged in academic activities almost as often as I would during a normal semester.,9,20,0,4.6
18/04/2023 06:53:05,Yes,,200 Level,20,Male,Single,Social Sciences,Economics,,very poorly. ,,Worked in a role unrelated to my studies,Acquired skills relevant to course of study,Moderately,Poorly,Worse lectures after the strike,Rarely: I engaged in academic activities once or twice during the strike.,7,,4.1,3.7
18/04/2023 07:23:47,Yes,,200 Level,20,Female,Dating,Social Sciences,Economics,,It affected me negatively. Had a hard time coping upon resumption ,Preparing for exams ,Worked in a role unrelated to my studies,Vocational training and artisanship,Moderately,Poorly,No noticeable change,Rarely: I engaged in academic activities once or twice during the strike.,8,22,3.23,3.2
18/04/2023 12:55:51,Yes,,300 Level,30,Female,Single,Education,Educational Foundations,,It has affected my time and my plans,Was not interested in going back to school,Worked in a role unrelated to my studies,Vocational training and artisanship,Moderately,Poorly,Worse lectures after the strike,Rarely: I engaged in academic activities once or twice during the strike.,9,0,2.2,2.2
18/04/2023 16:12:19,Yes,,200 Level,20,Male,Single,Social Sciences,Economics,,No,Having to restart studies,Worked in a role unrelated to my studies,Vocational training and artisanship,Moderately,Moderately,No noticeable change,"Sometimes: I engaged in academic activities occasionally, but not on a regular basis during the strike.",7,,4.6,4.5
18/04/2023 22:29:23,Yes,,400 Level,21,Male,Single,Engineering,Petroleum & Gas Engineering,,Not sure,Took awhile to get back my rhythm ,Did not work during the strike,None of the above,Moderately,Moderately,No noticeable change,Rarely: I engaged in academic activities once or twice during the strike.,8,23,000,000
19/04/2023 08:45:29,Yes,,300 Level,21,Female,Single,Environmental Sciences,Estate,,"Presently, it has made me a little too lax and it has also made studying difficult for me. ",Readjusting to the academic life. ,Worked in a role unrelated to my studies,None of the above,Very,Poorly,No noticeable change,Never: I did not engage in any academic activities during the strike.,8,21,3.6,3.74
20/04/2023 00:11:37,Yes,,300 Level,21,Male,Single,Sciences,Physics,,bad,reading ,Worked in a role unrelated to my studies,Acquired skills unrelated to course of study,Moderately,Poorly,No noticeable change,Never: I did not engage in any academic activities during the strike.,9,16,3.4,3.1
21/04/2023 01:40:30,Yes,,200 Level,37,Male,Single,Sciences,Mathematics,,It gets me to building my gp,Feel like dropping out ,Did not work during the strike,None of the above,Very,Poorly,Fewer lecturers attended classes,Very often: I engaged in academic activities almost as often as I would during a normal semester.,6,18,2.9,2.9
21/04/2023 09:56:07,Yes,,200 Level,20,Female,Dating,Management Science,Accounting,,"At first, when we resumed after the strike, I was uninterested in my grades. Was just plain tired and thought it might even continue, the strike, that is.",Having to start studying so much in little time with even less motivation.,Worked in a role relevant to my studies,Acquired skills relevant to course of study,Poorly,Poorly,Fewer lecturers attended classes,Never: I did not engage in any academic activities during the strike.,8,18,5,4.88
23/04/2023 20:37:02,Yes,,400 Level,22,Female,Single,Engineering,Chemical Engineering,,Badly,Having to relearn in such a short time,Worked in a role unrelated to my studies,"Volunteered for an event or organization, Acquired skills unrelated to course of study",Moderately,Poorly,No noticeable change,Never: I did not engage in any academic activities during the strike.,10,23,4.27,4.18
24/04/2023 14:33:23,Yes,,400 Level,21,Male,Dating,Sciences,Computer Sciences,,I had to re-prioritise and my performance was significantly below average among my peers,Making time for work and tech events.,Worked in a role relevant to my studies,Acquired skills relevant to course of study,Poorly,Poorly,No noticeable change,Never: I did not engage in any academic activities during the strike.,6,,3.17,3.2
26/04/2023 09:20:33,Yes,,400 Level,20,Male,Complicated,Management Science,Finance,,Good,Time wasting,Worked in a role unrelated to my studies,Acquired skills unrelated to course of study,Moderately,Moderately,Fewer lecturers attended classes,"Often: I engaged in academic activities regularly, but not as often as I would during a normal semester.",7,20,3.51,3.6
26/04/2023 09:28:17,Yes,,400 Level,21,Male,Single,Management Science,Finance,,"My academic performance was okay as usual, but the strike caused so much struggle which I haven't experienced before",It was quite difficult to concentrate on reading and preparing for exam after the long strike. I really struggled reading and understanding my courses,Worked in a role relevant to my studies,Acquired skills relevant to course of study,Poorly,Very,No noticeable change,Never: I did not engage in any academic activities during the strike.,5,13,4.74,4.75
26/04/2023 09:30:29,Yes,,400 Level,26,Male,Complicated,Management Science,Finance,,My performance in school have dropped by some.margin due to the incessant strikes and industrial actions.,The most challenging part is studying and getting a grasp on what I was doing.,Worked in a role relevant to my studies,"Volunteered for an event or organization, Acquired skills relevant to course of study",Moderately,Poorly,Fewer lecturers attended classes,Very often: I engaged in academic activities almost as often as I would during a normal semester.,6,19,4.18,4.27
26/04/2023 09:36:24,Yes,,400 Level,22,Male,Dating,Management Science,Finance,,"Career wise, slowed it down. Academically I did better.",Getting used to the stress,Worked in a role relevant to my studies,"Volunteered for an event or organization, Acquired skills unrelated to course of study",Moderately,Very,Fewer lecturers attended classes,"Often: I engaged in academic activities regularly, but not as often as I would during a normal semester.",5,25,4.57,4.62
26/04/2023 11:01:10,Yes,,300 Level,25,Female,Single,Education,Other,Technology and vocational education ,Made me lose interest in my course of study,The lectures were not helping. They just continue like nothing happened a whole 8months!!,Worked in a role unrelated to my studies,Acquired skills unrelated to course of study,Poorly,Very,No noticeable change,Rarely: I engaged in academic activities once or twice during the strike.,9,19,2.8,3.28
27/04/2023 20:44:50,Yes,,300 Level,20,Male,Single,Engineering,Civil & Environmental Engineering,,Deteriorating ,Everything has to be started from scratch ,Did not work during the strike,Acquired skills unrelated to course of study,Moderately,Poorly,Worse lectures after the strike,Rarely: I engaged in academic activities once or twice during the strike.,8,21,3.2,3.3
27/04/2023 22:54:55,Yes,,300 Level,21,Male,Single,Management Science,Actuarial Science & Insurance,,It opened my eyes to opportunities ,Reading and attending classes ,Worked in a role unrelated to my studies,"Acquired skills unrelated to course of study, Vocational training and artisanship",Moderately,Very,Worse lectures after the strike,Never: I did not engage in any academic activities during the strike.,8,28,4,4.1
27/04/2023 23:11:10,Yes,,300 Level,20,Male,Single,Engineering,Electrical & Electronics Engineering,,It always affects my preparedness for exams as I would have forgotten nearly everything done prior.,I had to device an entirely new method of learning to address the little time given before exams.,Worked in a role unrelated to my studies,"Volunteered for an event or organization, Acquired skills relevant to course of study, Acquired skills unrelated to course of study",Very,Moderately,Worse lectures after the strike,Rarely: I engaged in academic activities once or twice during the strike.,9,15,4.58,4.61
27/04/2023 23:43:32,Yes,,400 Level,23,Male,Single,Management Science,Actuarial Science & Insurance,,"There was a positive impact even on my academic performance during that period , at least the end result was the best that very semester or session overall.",The examinations period,Worked in a role unrelated to my studies,Acquired skills unrelated to course of study,Moderately,Very,Worse lectures after the strike,"Often: I engaged in academic activities regularly, but not as often as I would during a normal semester.",8,18,0,0
27/04/2023 23:48:16,Yes,,400 Level,22,Female,Single,Sciences,Microbiology,,Terribly ,Having to do assignments and tests plus being able to listen and understand during lectures ,Worked in a role unrelated to my studies,Vocational training and artisanship,Moderately,Moderately,No noticeable change,Never: I did not engage in any academic activities during the strike.,5,10,3.7,3.6
28/04/2023 00:02:00,Yes,,200 Level,20,Male,Single,Engineering,Computer Engineering,,It has put an hold into my academic life and made me forgot things I have known and read before. ,Revising my notes.,Did not work during the strike,None of the above,Poorly,Poorly,No noticeable change,Rarely: I engaged in academic activities once or twice during the strike.,9,15,4.1,3.75
28/04/2023 00:02:50,Yes,,300 Level,26,Male,Single,Environmental Sciences,Building,,"Omoooo, e choke o, I just dey go site dey run online classes for site",Exams became tougher guy,Worked in a role relevant to my studies,None of the above,Moderately,Moderately,Worse lectures after the strike,"Sometimes: I engaged in academic activities occasionally, but not on a regular basis during the strike.",9,21,3.34,3.54
28/04/2023 00:03:06,Yes,,300 Level,21,Male,Single,Sciences,Cell Biology & Genetics,,It affected me ,Trying to regain my focus for academics,Worked in a role unrelated to my studies,Acquired skills unrelated to course of study,Poorly,Very,Worse lectures after the strike,"Sometimes: I engaged in academic activities occasionally, but not on a regular basis during the strike.",6,17,4,4.1
28/04/2023 00:18:06,Yes,,300 Level,21,Male,Dating,Social Sciences,Political Science,,"A lot, I have dropped academically ",Learning how to accommodate myself back to school life ,Did not work during the strike,Acquired skills unrelated to course of study,Moderately,Poorly,No noticeable change,Rarely: I engaged in academic activities once or twice during the strike.,7,2,3.67,2.55
28/04/2023 00:19:33,Yes,,300 Level,21,Male,Single,Management Science,Actuarial Science & Insurance,,It has obstructed my future plans based on the timing,Had to reinstate my academic self,Worked in a role unrelated to my studies,"Acquired skills unrelated to course of study, Vocational training and artisanship",Moderately,Poorly,No noticeable change,Rarely: I engaged in academic activities once or twice during the strike.,8,22,3,3.8
28/04/2023 00:32:14,Yes,,300 Level,21,Male,Single,Sciences,Cell Biology & Genetics,,Positive and negative impact ,Having to actually remind myself that I was a student once more ,Worked in a role relevant to my studies,"Acquired skills relevant to course of study, Acquired skills unrelated to course of study",Moderately,Poorly,Worse lectures after the strike,"Sometimes: I engaged in academic activities occasionally, but not on a regular basis during the strike.",6,17,4.34,4.44
28/04/2023 06:25:17,Yes,,400 Level,22,Male,Single,Engineering,Civil & Environmental Engineering,,My performance is still relatively the same,Balancing extra curricular with school and other activities I started during strike,Worked in a role unrelated to my studies,"Acquired skills relevant to course of study, Vocational training and artisanship",Moderately,Moderately,Worse lectures after the strike,Rarely: I engaged in academic activities once or twice during the strike.,8,19,4.73,4.66
28/04/2023 09:36:18,Yes,,400 Level,27,Male,Single,Management Science,Actuarial Science & Insurance,,,,Worked in a role unrelated to my studies,Acquired skills relevant to course of study,Moderately,Very,No noticeable change,Rarely: I engaged in academic activities once or twice during the strike.,8,,3.03,3.14
28/04/2023 10:32:45,Yes,,300 Level,24,Female,Single,Social Sciences,Economics,,Improved grades ,"Balancing school and work, I eventually left the job ",Worked in a role unrelated to my studies,"Volunteered for an event or organization, Acquired skills unrelated to course of study",Poorly,Very,No noticeable change,Rarely: I engaged in academic activities once or twice during the strike.,6,18,3.82,3.97
28/04/2023 18:13:13,Yes,,200 Level,20,Female,Single,Sciences,Cell Biology & Genetics,,Mtcheeeew.,,Worked in a role unrelated to my studies,Vocational training and artisanship,Very,Moderately,No noticeable change,"Sometimes: I engaged in academic activities occasionally, but not on a regular basis during the strike.",8,18,4.82,4.6
29/04/2023 02:39:57,No,University of Ibadan ,100 Level,20,Female,Single,Arts,Other,Communication and Language Arts ,,,Did not work during the strike,"Acquired skills relevant to course of study, Acquired skills unrelated to course of study, Vocational training and artisanship",Moderately,Very,Worse lectures after the strike,"Sometimes: I engaged in academic activities occasionally, but not on a regular basis during the strike.",8,,0,0
29/04/2023 04:38:50,Yes,,100 Level,24,Male,Single,Pharmacy,Pharmaceutics & Pharmaceutical Technology,,"One clear effect it has had is, it made me very much uninterested in academics. 3 years in a session makes one question if education really is the way.",Leaving the little you were doing to make money and getting familiar with books again. ,Worked in a role unrelated to my studies,Acquired skills unrelated to course of study,Very,Poorly,No noticeable change,Rarely: I engaged in academic activities once or twice during the strike.,8,17,0,4.6
29/04/2023 10:15:36,Yes,,300 Level,26,Male,Single,Sciences,Biochemistry,,Negatively ,Lost of interest ,Worked in a role unrelated to my studies,None of the above,Poorly,Very,Improved lectures after the strike,Never: I did not engage in any academic activities during the strike.,8,17,1.97,1.5
