school,level,age,gender,relationship,faculty,department,strike_effect,challenge,work,skills,prep_before,prep_after,lecture,academic_act,courses_taken,course_unit,cgpa_before,cgpa_after,cgpa_change
university of lagos,400 Level,24,Female,Single,Management Science,Industrial relations & personnel management,I have lost interest in anything school and I have a very lackadaisical towards my academics ,Going for classes ,Worked in a role unrelated to my studies,Acquired skills unrelated to course of study,Moderately,Poorly,No noticeable change,Never: I did not engage in any academic activities during the strike.,7,17,3.14,3.14,0.0
university of lagos,300 Level,22,Male,Single,Social Sciences,Mass communication,Yes,Staying in unilag for additional year ,Worked in a role unrelated to my studies,Vocational training and artisanship,Moderately,Poorly,No noticeable change,Rarely: I engaged in academic activities once or twice during the strike.,8,21,3.81,3.75,-0.06000000000000005
university of lagos,200 Level,25,Male,Single,Sciences,Marine science,It has delayed my academic progress,Being able to fit in and also continue from where I stopped before the strike.,Worked in a role relevant to my studies,Acquired skills unrelated to course of study,Poorly,Moderately,Worse lectures after the strike,"Sometimes: I engaged in academic activities occasionally, but not on a regular basis during the strike.",7,19,3.78,4.2,0.4200000000000004
university of lagos,100 Level,25,Male,Single,Arts,English,"In a good way, I had time to read once in a while why hoping the strike will be called off",Returning back to school after a long time ,Did not work during the strike,Acquired skills unrelated to course of study,Moderately,Moderately,Improved lectures after the strike,Never: I did not engage in any academic activities during the strike.,7,14,0.0,2.8,2.8
university of lagos,200 Level,21,Male,Single,Sciences,Biochemistry,badly,studying,Did not work during the strike,Acquired skills relevant to course of study,Very,Moderately,I did not attend any lectures after the strike,Very often: I engaged in academic activities almost as often as I would during a normal semester.,8,16,1.0,4.2,3.2
university of lagos,400 Level,22,Male,Single,Education,Human kinetics & health education,I got distracted and got into business and my gp dropped drastically ,Everything is tiring ,Worked in a role unrelated to my studies,Acquired skills unrelated to course of study,Very,Moderately,No noticeable change,Never: I did not engage in any academic activities during the strike.,9,21,3.9,3.15,-0.75
university of lagos,Postgraduate Diploma,34,Female,Married,Sciences,Mathematics,I ought to have graduated 2021,,Worked in a role unrelated to my studies,Acquired skills unrelated to course of study,Moderately,Moderately,Fewer lecturers attended classes,Rarely: I engaged in academic activities once or twice during the strike.,6,,2.5,2.5,0.0
university of lagos,400 Level,25,Female,Single,Education,Science tech. education,It drew my education backwards ,Reading ,Worked in a role unrelated to my studies,Acquired skills unrelated to course of study,Moderately,Very,Fewer lecturers attended classes,Never: I did not engage in any academic activities during the strike.,8,5,2.32,2.55,0.22999999999999998
university of lagos,300 Level,21,Male,Single,Sciences,Cell biology & genetics,Badly affected it,Understanding the academic system,Did not work during the strike,None of the above,Moderately,Poorly,No noticeable change,"Sometimes: I engaged in academic activities occasionally, but not on a regular basis during the strike.",9,23,0.0,2.91,2.91
university of lagos,300 Level,25,Female,Complicated,Education,Educational foundations,Making our education slower ,To read in order to meet up,Worked in a role unrelated to my studies,Acquired skills unrelated to course of study,Very,Moderately,Worse lectures after the strike,"Sometimes: I engaged in academic activities occasionally, but not on a regular basis during the strike.",10,,3.38,3.5,0.1200000000000001
university of lagos,300 Level,22,Female,Single,Education,Educational foundations,The ASUU strike affected me in a negative way and it draw my academic performance backward ,Returning back to my books ,Worked in a role unrelated to my studies,"Acquired skills unrelated to course of study, Vocational training and artisanship",Moderately,Moderately,No noticeable change,Never: I did not engage in any academic activities during the strike.,9,2,3.75,3.38,-0.3700000000000001
university of lagos,300 Level,20,Male,Single,Sciences,Marine science,"It basically just prolonged the academic year and increased the amount of time i had to read for school, but the long time also made me loose interest. It didn't affect my CGPA though",The fact that I was used to staying at home for a very long time and going back to school just felt tedious and stressful,Worked in a role unrelated to my studies,"Volunteered for an event or organization, Acquired skills unrelated to course of study",Poorly,Very,Fewer lecturers attended classes,Never: I did not engage in any academic activities during the strike.,8,21,4.69,4.81,0.11999999999999922
university of lagos,300 Level,22,Male,Single,Environmental Sciences,Quantity surveying,Affected my dedication to my education because of the incessant breaks ,Resuming to academic life was challenging because of other investments I engaged in during the academic breaks,Worked in a role unrelated to my studies,"Acquired skills unrelated to course of study, Vocational training and artisanship",Moderately,Poorly,Improved lectures after the strike,Never: I did not engage in any academic activities during the strike.,8,16,3.59,3.75,0.16000000000000014
funaab,400 Level,21,Male,Single,Sciences,Statistics,It made my grades drop,Trying to catch up with previous academic work,Worked in a role relevant to my studies,Acquired skills unrelated to course of study,Poorly,Poorly,No noticeable change,Rarely: I engaged in academic activities once or twice during the strike.,7,15,4.0,3.7,-0.2999999999999998
university of lagos,100 Level,23,Male,Single,Education,Educational foundations,It has affected it in a bad way,Surviving ,Worked in a role unrelated to my studies,Volunteered for an event or organization,Poorly,Very,Worse lectures after the strike,"Often: I engaged in academic activities regularly, but not as often as I would during a normal semester.",8,5,0.0,3.57,3.57
university of lagos,100 Level,19,Male,Single,Engineering,Mechanical engineering,I'm slower to processing things,Reading,Worked in a role unrelated to my studies,Acquired skills unrelated to course of study,Poorly,Poorly,Improved lectures after the strike,Rarely: I engaged in academic activities once or twice during the strike.,8,14,0.0,0.0,0.0
university of lagos,300 Level,21,Female,Dating,Sciences,Cell biology & genetics,Not satisfactory ,Reading ,Worked in a role unrelated to my studies,Vocational training and artisanship,Moderately,Moderately,Worse lectures after the strike,Rarely: I engaged in academic activities once or twice during the strike.,8,,3.0,3.0,0.0
university of lagos,400 Level,22,Male,Single,Education,Human kinetics & health education,Badly ,Get used to reading and attending lectures,Worked in a role unrelated to my studies,Acquired skills unrelated to course of study,Very,Moderately,Worse lectures after the strike,"Sometimes: I engaged in academic activities occasionally, but not on a regular basis during the strike.",5,16,3.38,3.38,0.0
university of lagos,200 Level,20,Male,Single,Management Sciences,Accounting,Nothing really,Losing interest in school,Worked in a role unrelated to my studies,"Acquired skills relevant to course of study, Vocational training and artisanship",Moderately,Poorly,Fewer lecturers attended classes,"Sometimes: I engaged in academic activities occasionally, but not on a regular basis during the strike.",7,,4.08,4.28,0.20000000000000018
university of lagos,400 Level,26,Male,Dating,Education,Business education,It destabilized my academic journey and prolonged the number of years i intended to spend in school. ,Getting up to speed with previous lectures.,Worked in a role relevant to my studies,Acquired skills relevant to course of study,Very,Very,No noticeable change,"Often: I engaged in academic activities regularly, but not as often as I would during a normal semester.",8,22,2.68,2.77,0.08999999999999986
university of lagos,300 Level,22,Female,Single,Sciences,Biochemistry,"Loss of interest in academics
",Looks of materials to read and catch up on. ,Worked in a role unrelated to my studies,"Volunteered for an event or organization, Acquired skills unrelated to course of study, Vocational training and artisanship",Very,Moderately,Worse lectures after the strike,Rarely: I engaged in academic activities once or twice during the strike.,7,15,0.0,0.0,0.0
university of lagos,300 Level,22,Female,Dating,Education,Arts & social science education,My grades dropped a little bit ,Trying to get back to reading and assimilating ,Did not work during the strike,None of the above,Moderately,Moderately,Fewer lecturers attended classes,Rarely: I engaged in academic activities once or twice during the strike.,11,22,3.67,3.2,-0.46999999999999975
lagos state university,400 Level,21,Female,Dating,Arts,English,"I have become more relaxed and this has affected my cgpa, as the strike has made it more evident that the government doesn’t not care about the students. ","It was hard getting back to the usual routine of the academic life. During the strike, a lot of students decided to create side hustles for themselves as the journey that is supposed to be for a fixed number of years has been interrupted by subsequent strikes. Merging this side hustle with the academic life has proved to be stressful.",Worked in a role unrelated to my studies,"Acquired skills unrelated to course of study, Vocational training and artisanship",Very,Moderately,Worse lectures after the strike,"Often: I engaged in academic activities regularly, but not as often as I would during a normal semester.",10,20,3.45,3.15,-0.30000000000000027
university of lagos,400 Level,27,Female,Single,Education,Arts & social science education,"It affected me in so many ways, I couldn’t work because no one wants to employ undergraduate.

I couldn’t read because I lost the zeal to","I couldn’t focus on book
I can’t assimilate well",Did not work during the strike,Volunteered for an event or organization,Poorly,Poorly,Worse lectures after the strike,Never: I did not engage in any academic activities during the strike.,7,14,2.72,2.41,-0.31000000000000005
university of lagos,100 Level,22,Male,Dating,Arts,Philosophy,Meh ,The rush ,Worked in a role unrelated to my studies,Acquired skills unrelated to course of study,Moderately,Moderately,Fewer lecturers attended classes,Never: I did not engage in any academic activities during the strike.,10,,0.0,2.1,2.1
university of lagos,100 Level,19,Male,Single,Management Science,Actuarial science & insurance,,"My getting used to the whole university life worsened cause I was still new to the system, and after just few weeks we had spent after resumption the school went on strike ",Worked in a role unrelated to my studies,Vocational training and artisanship,Moderately,Poorly,Worse lectures after the strike,Rarely: I engaged in academic activities once or twice during the strike.,8,18,0.0,4.2,4.2
university of lagos,300 Level,22,Male,Single,Arts,History & strategic studies,Very significantly ,Having to go back again for other breaks; there was and is still no fluidity.,Worked in a role unrelated to my studies,Vocational training and artisanship,Moderately,Poorly,Fewer lecturers attended classes,Rarely: I engaged in academic activities once or twice during the strike.,9,18,4.0,4.0,0.0
university of lagos,300 Level,21,Male,Single,Sciences,Mathematics,Being more Industry focused then academic focused,Leaving my job beacuse it was an onsite role,Worked in a role relevant to my studies,"Volunteered for an event or organization, Acquired skills relevant to course of study, Acquired skills unrelated to course of study",Very,Moderately,Fewer lecturers attended classes,Never: I did not engage in any academic activities during the strike.,7,17,4.2,4.15,-0.04999999999999982
university of lagos,400 Level,21,Male,Single,Social Sciences,Mass communication,,,Worked in a role relevant to my studies,"Acquired skills relevant to course of study, Acquired skills unrelated to course of study",Moderately,Moderately,Improved lectures after the strike,"Sometimes: I engaged in academic activities occasionally, but not on a regular basis during the strike.",7,19,3.47,3.67,0.19999999999999973
university of lagos,300 Level,24,Female,Single,Education,Educational foundations,I would say the strike affected my academic performance positively. Wasn't so at first sha. But there was a massive turn around ,Exam😅,Worked in a role unrelated to my studies,None of the above,Poorly,Very,No noticeable change,Rarely: I engaged in academic activities once or twice during the strike.,10,20,3.52,3.74,0.2200000000000002
university of lagos,400 Level,22,Male,Single,Education,Religious studies ,I'm mentally exhausted. It makes my mental health decline so fast.,"Lecturers do not care, the school doesn't care. No emphathy or emotional support.",Did not work during the strike,None of the above,Very,Poorly,No noticeable change,"Sometimes: I engaged in academic activities occasionally, but not on a regular basis during the strike.",9,22,0.0,0.0,0.0
university of lagos,200 Level,24,Female,Single,Education,Science tech. education,Bad ,Getting to study again ,Worked in a role unrelated to my studies,None of the above,Moderately,Poorly,Worse lectures after the strike,Never: I did not engage in any academic activities during the strike.,11,23,3.65,2.1,-1.5499999999999998
university of lagos,300 Level,24,Female,Dating,Education,Educational foundations,Literally lost the zeal to read as I got engaged with other things during the strike,Writing exams literally a month after resumption ,Worked in a role unrelated to my studies,None of the above,Very,Moderately,Fewer lecturers attended classes,Never: I did not engage in any academic activities during the strike.,10,20,2.23,2.66,0.43000000000000016
university of lagos,200 Level,23,Female,Single,Education,Educational foundations,I considered dropping out of school ,It was quite difficult ,Worked in a role unrelated to my studies,Acquired skills unrelated to course of study,Moderately,Poorly,No noticeable change,Rarely: I engaged in academic activities once or twice during the strike.,10,2,2.5,2.5,0.0
university of lagos,200 Level,24,Female,Dating,Education,Biology education,"It has made me perform worse in academics and I feel left out or behind I would say , it made me feel like school  is just a waste and the government take out academics and future as play ",Classes attendance and trying to assimilate what they teach ,Worked in a role unrelated to my studies,Vocational training and artisanship,Moderately,Poorly,Worse lectures after the strike,Rarely: I engaged in academic activities once or twice during the strike.,8,17,3.0,2.4,-0.6000000000000001
university of lagos,200 Level,26,Female,Single,Education,Educational foundations,It has delayed me,Getting motivation ,Worked in a role unrelated to my studies,Acquired skills unrelated to course of study,Very,Moderately,Fewer lecturers attended classes,"Sometimes: I engaged in academic activities occasionally, but not on a regular basis during the strike.",11,,0.0,4.0,4.0
university of lagos,200 Level,22,Female,Dating,Education,Educational foundations,It made me nonchalant ,Everything about academic ,Did not work during the strike,Acquired skills unrelated to course of study,Moderately,Poorly,Fewer lecturers attended classes,Rarely: I engaged in academic activities once or twice during the strike.,9,18,3.85,0.0,-3.85
university of lagos,200 Level,22,Female,Single,Sciences,Cell biology & genetics,"Positively, because I had enough time to study under less pressure and in a conformtable environment, negatively; because an extra year has been added to my years of studying thereby disrupting the plans I have for the future ",Trying to study without pressure knowing that exams were to take place few months after resumption ,Worked in a role unrelated to my studies,Acquired skills unrelated to course of study,Very,Moderately,No noticeable change,"Sometimes: I engaged in academic activities occasionally, but not on a regular basis during the strike.",5,5,0.0,4.65,4.65
university of lagos,300 Level,21,Male,Single,Sciences,Mathematics,I grew a lot more motivated to study harder because I running out of time fast. ,Remembering things from before the strike,Did not work during the strike,Acquired skills relevant to course of study,Poorly,Moderately,No noticeable change,"Sometimes: I engaged in academic activities occasionally, but not on a regular basis during the strike.",7,17,2.5,2.88,0.3799999999999999
university of lagos,300 Level,22,Male,Single,Sciences,Statistics,it has made me no longer interested in education ,reading again,Worked in a role unrelated to my studies,Vocational training and artisanship,Moderately,Moderately,No noticeable change,"Sometimes: I engaged in academic activities occasionally, but not on a regular basis during the strike.",6,17,3.24,3.5,0.2599999999999998
university of lagos,400 Level,23,Female,Single,Education,Science tech. education,I had to look for jobs and hence stopped reading . Going back to school was a bit hard ,The reading .,Worked in a role unrelated to my studies,"Acquired skills unrelated to course of study, Vocational training and artisanship",Poorly,Moderately,No noticeable change,Rarely: I engaged in academic activities once or twice during the strike.,9,21,3.5,2.6,-0.8999999999999999
university of lagos,300 Level,22,Male,Dating,Education,Science tech. education,YES,Examination. ,Worked in a role unrelated to my studies,"Acquired skills unrelated to course of study, Vocational training and artisanship",Moderately,Poorly,No noticeable change,Never: I did not engage in any academic activities during the strike.,7,18,2.67,2.4,-0.27
university of lagos,200 Level,21,Male,Dating,Engineering,Electrical & electronics engineering,Bad,"Been a while I've read
Took a while to adjust",Worked in a role unrelated to my studies,Acquired skills relevant to course of study,Moderately,Poorly,Improved lectures after the strike,Rarely: I engaged in academic activities once or twice during the strike.,10,19,4.0,3.67,-0.33000000000000007
university of lagos,100 Level,19,Male,Single,Management Sciences,Finance,Omo I no sabi oo,,Did not work during the strike,None of the above,Moderately,Moderately,No noticeable change,Rarely: I engaged in academic activities once or twice during the strike.,9,19,0.0,3.51,3.51
university of lagos,200 Level,21,Male,Single,Engineering,Mechanical engineering,"Was unable to go to read well
Home issues and had to work",To start reading again after a long time ,Worked in a role relevant to my studies,Acquired skills relevant to course of study,Moderately,Poorly,Worse lectures after the strike,Rarely: I engaged in academic activities once or twice during the strike.,11,19,4.26,4.0,-0.2599999999999998
university of lagos,300 Level,21,Male,Single,Law,Law,Greatly,Becoming motivated to study,Worked in a role unrelated to my studies,Acquired skills unrelated to course of study,Moderately,Poorly,Worse lectures after the strike,Never: I did not engage in any academic activities during the strike.,6,20,4.1,2.8,-1.2999999999999998
university of lagos,100 Level,19,Male,Single,Engineering,Civil & environmental engineering,it hasn't ,adapting to school life,Worked in a role unrelated to my studies,Acquired skills unrelated to course of study,Moderately,Poorly,No noticeable change,Never: I did not engage in any academic activities during the strike.,9,0,0.0,3.5,3.5
university of lagos,200 Level,22,Female,Single,Education,Biology education,"It affected my GP in my first exam in unilag, I was in year 1 during the strike",Having short time to study for exam,Worked in a role unrelated to my studies,None of the above,Very,Moderately,Worse lectures after the strike,Never: I did not engage in any academic activities during the strike.,7,16,0.0,2.39,2.39
university of lagos,300 Level,22,Female,Single,Sciences,Mathematics,"Not really 
Still maintaining the same CGPA",I find it difficult to read. Little or no vibe at all to pick up a book to read. Basically I feel like dropping out ,Worked in a role unrelated to my studies,"Volunteered for an event or organization, Acquired skills unrelated to course of study",Very,Moderately,No noticeable change,Never: I did not engage in any academic activities during the strike.,7,19,2.6,2.6,0.0
university of lagos,200 Level,23,Male,Single,Social Sciences,Economics,I wasn't fully prepared for my exams cause I had little time to cover the syllabus ,Studying my calculation courses,Worked in a role relevant to my studies,"Volunteered for an event or organization, Acquired skills relevant to course of study",Poorly,Moderately,Worse lectures after the strike,"Sometimes: I engaged in academic activities occasionally, but not on a regular basis during the strike.",7,,4.09,3.95,-0.13999999999999968
university of lagos,200 Level,19,Male,Single,Social Sciences,Economics,It made me more relaxed in my reading but help me career wise,Vibe to read,Worked in a role relevant to my studies,"Volunteered for an event or organization, Acquired skills relevant to course of study, Acquired skills unrelated to course of study, Vocational training and artisanship",Very,Poorly,Improved lectures after the strike,"Sometimes: I engaged in academic activities occasionally, but not on a regular basis during the strike.",7,,5.0,4.5,-0.5
university of lagos,200 Level,20,Male,Dating,Social Sciences,Economics,Affected me in a bad way. Quite a horrible experience ,Having to cover up a lot in few weeks,Worked in a role unrelated to my studies,Acquired skills unrelated to course of study,Very,Poorly,No noticeable change,Rarely: I engaged in academic activities once or twice during the strike.,6,18,3.8,3.4,-0.3999999999999999
university of lagos,200 Level,21,Male,Single,Social Sciences,Economics,it has affected my academic performance badly ,the academic itself ,Worked in a role unrelated to my studies,Acquired skills unrelated to course of study,Moderately,Poorly,Worse lectures after the strike,Rarely: I engaged in academic activities once or twice during the strike.,7,22,4.55,4.5,-0.04999999999999982
university of lagos,200 Level,22,Male,Single,Social Sciences,Economics,It affected my focus towards academics,I had to share my focus with some other engagements I got into during the strike ,Worked in a role unrelated to my studies,Acquired skills unrelated to course of study,Poorly,Moderately,Fewer lecturers attended classes,Rarely: I engaged in academic activities once or twice during the strike.,6,18,3.49,3.2,-0.29000000000000004
university of lagos,200 Level,20,Female,Single,Social Sciences,Economics,,,Did not work during the strike,None of the above,Moderately,Moderately,No noticeable change,Never: I did not engage in any academic activities during the strike.,6,16,0.0,4.3,4.3
university of lagos,200 Level,25,Female,Single,Social Sciences,Economics,Making a plan and in the process the strike was called off,Resetting the brain ,Worked in a role unrelated to my studies,"Volunteered for an event or organization, Acquired skills relevant to course of study, Acquired skills unrelated to course of study, Vocational training and artisanship",Very,Poorly,Fewer lecturers attended classes,Very often: I engaged in academic activities almost as often as I would during a normal semester.,7,,0.0,0.0,0.0
university of lagos,200 Level,20,Female,Single,Social Sciences,Economics,It made me relaxed to took my education with levity. I'm still trying to focus for the semester. It's s so bad that even rumours or prank about ASUU strike is enough to damp my mood. To be honest I'm getting tired of this education thing little by little.,"The part where I have to explain to my family that even though be been in the school for close to four years I'm still resuming back to year 2 first semester
 ",Did not work during the strike,"Acquired skills relevant to course of study, Vocational training and artisanship",Moderately,Poorly,No noticeable change,Rarely: I engaged in academic activities once or twice during the strike.,7,20,4.32,4.22,-0.10000000000000053
university of lagos,100 Level,19,Female,Single,Sciences,Cell biology & genetics,Negatively ,Trying to pick up the habit of reading ,Worked in a role unrelated to my studies,"Acquired skills relevant to course of study, Acquired skills unrelated to course of study, Vocational training and artisanship",Moderately,Poorly,Fewer lecturers attended classes,Rarely: I engaged in academic activities once or twice during the strike.,8,20,0.0,3.5,3.5
university of lagos,200 Level,21,Female,Dating,Management Sciences,Finance,Yes very bad,,Worked in a role unrelated to my studies,Vocational training and artisanship,Very,Moderately,Fewer lecturers attended classes,"Often: I engaged in academic activities regularly, but not as often as I would during a normal semester.",10,21,3.29,2.29,-1.0
university of lagos,200 Level,18,Female,Single,Management Sciences,Accounting,"Personally, I gained admission through Jupeb. So it was a struggle for me as I gained admission in January and strike began in February and ended October and exam started December. I wasn't able to attend lectures properly and the whole semester was in haste.",After having to stay at home for 8 months only to return to school to start preparing for exams had a negative impact on me but I was able to buckle up quickly. ,Worked in a role relevant to my studies,Acquired skills relevant to course of study,Poorly,Moderately,Worse lectures after the strike,Very often: I engaged in academic activities almost as often as I would during a normal semester.,9,20,0.0,4.6,4.6
university of lagos,200 Level,20,Male,Single,Social Sciences,Economics,very poorly. ,,Worked in a role unrelated to my studies,Acquired skills relevant to course of study,Moderately,Poorly,Worse lectures after the strike,Rarely: I engaged in academic activities once or twice during the strike.,7,,4.1,3.7,-0.39999999999999947
university of lagos,200 Level,20,Female,Dating,Social Sciences,Economics,It affected me negatively. Had a hard time coping upon resumption ,Preparing for exams ,Worked in a role unrelated to my studies,Vocational training and artisanship,Moderately,Poorly,No noticeable change,Rarely: I engaged in academic activities once or twice during the strike.,8,22,3.23,3.2,-0.029999999999999805
university of lagos,300 Level,30,Female,Single,Education,Educational foundations,It has affected my time and my plans,Was not interested in going back to school,Worked in a role unrelated to my studies,Vocational training and artisanship,Moderately,Poorly,Worse lectures after the strike,Rarely: I engaged in academic activities once or twice during the strike.,9,0,2.2,2.2,0.0
university of lagos,200 Level,20,Male,Single,Social Sciences,Economics,No,Having to restart studies,Worked in a role unrelated to my studies,Vocational training and artisanship,Moderately,Moderately,No noticeable change,"Sometimes: I engaged in academic activities occasionally, but not on a regular basis during the strike.",7,,4.6,4.5,-0.09999999999999964
university of lagos,400 Level,21,Male,Single,Engineering,Petroleum & gas engineering,Not sure,Took awhile to get back my rhythm ,Did not work during the strike,None of the above,Moderately,Moderately,No noticeable change,Rarely: I engaged in academic activities once or twice during the strike.,8,23,0.0,0.0,0.0
university of lagos,300 Level,21,Female,Single,Environmental Sciences,Estate,"Presently, it has made me a little too lax and it has also made studying difficult for me. ",Readjusting to the academic life. ,Worked in a role unrelated to my studies,None of the above,Very,Poorly,No noticeable change,Never: I did not engage in any academic activities during the strike.,8,21,3.6,3.74,0.14000000000000012
university of lagos,300 Level,21,Male,Single,Sciences,Physics,bad,reading ,Worked in a role unrelated to my studies,Acquired skills unrelated to course of study,Moderately,Poorly,No noticeable change,Never: I did not engage in any academic activities during the strike.,9,16,3.4,3.1,-0.2999999999999998
university of lagos,200 Level,37,Male,Single,Sciences,Mathematics,It gets me to building my gp,Feel like dropping out ,Did not work during the strike,None of the above,Very,Poorly,Fewer lecturers attended classes,Very often: I engaged in academic activities almost as often as I would during a normal semester.,6,18,2.9,2.9,0.0
university of lagos,200 Level,20,Female,Dating,Management Sciences,Accounting,"At first, when we resumed after the strike, I was uninterested in my grades. Was just plain tired and thought it might even continue, the strike, that is.",Having to start studying so much in little time with even less motivation.,Worked in a role relevant to my studies,Acquired skills relevant to course of study,Poorly,Poorly,Fewer lecturers attended classes,Never: I did not engage in any academic activities during the strike.,8,18,5.0,4.88,-0.1200000000000001
university of lagos,400 Level,22,Female,Single,Engineering,Chemical engineering,Badly,Having to relearn in such a short time,Worked in a role unrelated to my studies,"Volunteered for an event or organization, Acquired skills unrelated to course of study",Moderately,Poorly,No noticeable change,Never: I did not engage in any academic activities during the strike.,10,23,4.27,4.18,-0.08999999999999986
university of lagos,400 Level,21,Male,Dating,Sciences,Computer sciences,I had to re-prioritise and my performance was significantly below average among my peers,Making time for work and tech events.,Worked in a role relevant to my studies,Acquired skills relevant to course of study,Poorly,Poorly,No noticeable change,Never: I did not engage in any academic activities during the strike.,6,,3.17,3.2,0.03000000000000025
university of lagos,400 Level,20,Male,Complicated,Management Sciences,Finance,Good,Time wasting,Worked in a role unrelated to my studies,Acquired skills unrelated to course of study,Moderately,Moderately,Fewer lecturers attended classes,"Often: I engaged in academic activities regularly, but not as often as I would during a normal semester.",7,20,3.51,3.6,0.0900000000000003
university of lagos,400 Level,21,Male,Single,Management Sciences,Finance,"My academic performance was okay as usual, but the strike caused so much struggle which I haven't experienced before",It was quite difficult to concentrate on reading and preparing for exam after the long strike. I really struggled reading and understanding my courses,Worked in a role relevant to my studies,Acquired skills relevant to course of study,Poorly,Very,No noticeable change,Never: I did not engage in any academic activities during the strike.,5,13,4.74,4.75,0.009999999999999787
university of lagos,400 Level,26,Male,Complicated,Management Sciences,Finance,My performance in school have dropped by some.margin due to the incessant strikes and industrial actions.,The most challenging part is studying and getting a grasp on what I was doing.,Worked in a role relevant to my studies,"Volunteered for an event or organization, Acquired skills relevant to course of study",Moderately,Poorly,Fewer lecturers attended classes,Very often: I engaged in academic activities almost as often as I would during a normal semester.,6,19,4.18,4.27,0.08999999999999986
university of lagos,400 Level,22,Male,Dating,Management Sciences,Finance,"Career wise, slowed it down. Academically I did better.",Getting used to the stress,Worked in a role relevant to my studies,"Volunteered for an event or organization, Acquired skills unrelated to course of study",Moderately,Very,Fewer lecturers attended classes,"Often: I engaged in academic activities regularly, but not as often as I would during a normal semester.",5,25,4.57,4.62,0.04999999999999982
university of lagos,300 Level,25,Female,Single,Education,Technology and vocational education ,Made me lose interest in my course of study,The lectures were not helping. They just continue like nothing happened a whole 8months!!,Worked in a role unrelated to my studies,Acquired skills unrelated to course of study,Poorly,Very,No noticeable change,Rarely: I engaged in academic activities once or twice during the strike.,9,19,2.8,3.28,0.48
university of lagos,300 Level,20,Male,Single,Engineering,Civil & environmental engineering,Deteriorating ,Everything has to be started from scratch ,Did not work during the strike,Acquired skills unrelated to course of study,Moderately,Poorly,Worse lectures after the strike,Rarely: I engaged in academic activities once or twice during the strike.,8,21,3.2,3.3,0.09999999999999964
university of lagos,300 Level,21,Male,Single,Management Science,Actuarial science & insurance,It opened my eyes to opportunities ,Reading and attending classes ,Worked in a role unrelated to my studies,"Acquired skills unrelated to course of study, Vocational training and artisanship",Moderately,Very,Worse lectures after the strike,Never: I did not engage in any academic activities during the strike.,8,28,4.0,4.1,0.09999999999999964
university of lagos,300 Level,20,Male,Single,Engineering,Electrical & electronics engineering,It always affects my preparedness for exams as I would have forgotten nearly everything done prior.,I had to device an entirely new method of learning to address the little time given before exams.,Worked in a role unrelated to my studies,"Volunteered for an event or organization, Acquired skills relevant to course of study, Acquired skills unrelated to course of study",Very,Moderately,Worse lectures after the strike,Rarely: I engaged in academic activities once or twice during the strike.,9,15,4.58,4.61,0.03000000000000025
university of lagos,400 Level,23,Male,Single,Management Science,Actuarial science & insurance,"There was a positive impact even on my academic performance during that period , at least the end result was the best that very semester or session overall.",The examinations period,Worked in a role unrelated to my studies,Acquired skills unrelated to course of study,Moderately,Very,Worse lectures after the strike,"Often: I engaged in academic activities regularly, but not as often as I would during a normal semester.",8,18,0.0,0.0,0.0
university of lagos,400 Level,22,Female,Single,Sciences,Microbiology,Terribly ,Having to do assignments and tests plus being able to listen and understand during lectures ,Worked in a role unrelated to my studies,Vocational training and artisanship,Moderately,Moderately,No noticeable change,Never: I did not engage in any academic activities during the strike.,5,10,3.7,3.6,-0.10000000000000009
university of lagos,200 Level,20,Male,Single,Engineering,Computer engineering,It has put an hold into my academic life and made me forgot things I have known and read before. ,Revising my notes.,Did not work during the strike,None of the above,Poorly,Poorly,No noticeable change,Rarely: I engaged in academic activities once or twice during the strike.,9,15,4.1,3.75,-0.34999999999999964
university of lagos,300 Level,26,Male,Single,Environmental Sciences,Building,"Omoooo, e choke o, I just dey go site dey run online classes for site",Exams became tougher guy,Worked in a role relevant to my studies,None of the above,Moderately,Moderately,Worse lectures after the strike,"Sometimes: I engaged in academic activities occasionally, but not on a regular basis during the strike.",9,21,3.34,3.54,0.20000000000000018
university of lagos,300 Level,21,Male,Single,Sciences,Cell biology & genetics,It affected me ,Trying to regain my focus for academics,Worked in a role unrelated to my studies,Acquired skills unrelated to course of study,Poorly,Very,Worse lectures after the strike,"Sometimes: I engaged in academic activities occasionally, but not on a regular basis during the strike.",6,17,4.0,4.1,0.09999999999999964
university of lagos,300 Level,21,Male,Dating,Social Sciences,Political science,"A lot, I have dropped academically ",Learning how to accommodate myself back to school life ,Did not work during the strike,Acquired skills unrelated to course of study,Moderately,Poorly,No noticeable change,Rarely: I engaged in academic activities once or twice during the strike.,7,2,3.67,2.55,-1.12
university of lagos,300 Level,21,Male,Single,Management Science,Actuarial science & insurance,It has obstructed my future plans based on the timing,Had to reinstate my academic self,Worked in a role unrelated to my studies,"Acquired skills unrelated to course of study, Vocational training and artisanship",Moderately,Poorly,No noticeable change,Rarely: I engaged in academic activities once or twice during the strike.,8,22,3.0,3.8,0.7999999999999998
university of lagos,300 Level,21,Male,Single,Sciences,Cell biology & genetics,Positive and negative impact ,Having to actually remind myself that I was a student once more ,Worked in a role relevant to my studies,"Acquired skills relevant to course of study, Acquired skills unrelated to course of study",Moderately,Poorly,Worse lectures after the strike,"Sometimes: I engaged in academic activities occasionally, but not on a regular basis during the strike.",6,17,4.34,4.44,0.10000000000000053
